Account Number,Date,Revenue Amount (USD),Type,Fund,Campaign,Appeal,Primary City,Primary State,Primary ZIP Code
163,2025-01-20,22.8,Recurring Donation Payment,Unrestricted,,,Powell,OH,43065
165,2025-01-18,104.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Beavercreek,OH,45434
535,2025-01-18,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43214
8231,2025-01-18,20.76,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-4014
10589,2025-01-17,500,Donation,Nationwide Childen's Hospital,Sam's Fans 2024,,,,
2139,2025-01-17,78.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Galena,OH,43021
1566,2025-01-15,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Darien,CT,06820-3204
10382,2025-01-15,21.11,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Columbus,OH,43214
9739,2025-01-15,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Dublin,OH,43017
9068,2025-01-15,15.91,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,columbus,OH,43235
383,2025-01-15,100,Recurring Donation Payment,Unrestricted,,,Bremerton,WA,98312
1104,2025-01-14,100,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Elsberry,MO,63343
10570,2025-01-14,75,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Westerville,OH,43082
8857,2025-01-14,50,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Philadelphia,PA,15218
9188,2025-01-14,1000,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Stoutsville,OH,43154
181,2025-01-14,250,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,DUBLIN,OH,43017
551,2025-01-14,1000,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Saint Louis,MO,63122
10824,2025-01-14,1000,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43202
1417,2025-01-14,100,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Fairview Park,OH,44126
8831,2025-01-14,25.87,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43221
8575,2025-01-12,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Sammamish,WA,98074
1231,2025-01-12,20,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Edgewater,FL,32132-6942
752,2025-01-12,102.56,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214
9765,2025-01-11,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,Galena,OH,43021
323,2025-01-11,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Powell,OH,43065
1351,2025-01-11,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43221
32,2025-01-11,100,Recurring Donation Payment,Unrestricted,,,St. James City,FL,33956
193,2025-01-11,30,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-1721
10589,2025-01-10,250,Donation,Nationwide Childen's Hospital,2025 Celebrating A Decade of Hope and Healing,,,,
9738,2025-01-10,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43214
1117,2025-01-10,25,Recurring Donation Payment,Unrestricted,,,Pleasant Hill,CA,94523-2624
866,2025-01-08,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Uniontown,OH,44685
1578,2025-01-06,15.91,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Fairmont,WV,26554
284,2025-01-06,73.1,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Columbus,OH,43221-2740
10685,2025-01-05,,Soft Credit,Unrestricted,2025 Celebrating A Decade of Hope and Healing,2024 Year End Campaign,,,
9121,2025-01-05,500,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,2024 Year End Campaign,,,
61,2025-01-05,25.87,Recurring Donation Payment,Unrestricted,,,West Jefferson,OH,43162-9658
1631,2025-01-03,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Columbus,OH,43220
9618,2025-01-03,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Hilliard,OH,43026
9109,2025-01-03,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Powell,OH,43065
590,2025-01-03,10.71,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Washington,DC,20007
2543,2025-01-03,10.53,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235-6114
394,2025-01-02,21.11,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,"Columbus, Ohio",OH,43214
10340,2025-01-02,104.3,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Columbus,OH,43235
9736,2025-01-01,73.1,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,Columbus,OH,43220
752,2025-01-01,10.71,Donation,Unrestricted,2025 Celebrating A Decade of Hope and Healing,,Columbus,OH,43214
2544,2025-01-01,51.43,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
5,2025-01-01,51.43,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
91,2025-01-01,5,Recurring Donation Payment,Unrestricted,,,Goodyear,AZ,85395
2264,2025-01-01,15.64,Recurring Donation Payment,Unrestricted,,,Uniontown,OH,44685-7583
8001,2025-01-01,20,Recurring Donation Payment,Unrestricted,,,Oak Island,NC,28461
10823,2024-12-31,200,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Sacramento,CA,95819
8956,2024-12-31,10,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43235-1320
9637,2024-12-31,104.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Grandview Heights,OH,43212
10818,2024-12-31,104.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Guilford,CT,06437-3525
10817,2024-12-31,208.28,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43230
946,2024-12-31,260.28,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Rochester Hills,MI,48309
2303,2024-12-31,52.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Portsmouth,RI,02871
9666,2024-12-31,104.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Lewis Center,OH,43035
613,2024-12-31,52.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43214
10443,2024-12-30,50,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,DUBLIN,OH,43016
9735,2024-12-30,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43235
10816,2024-12-30,520.24,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Troy,MI,48084
10700,2024-12-30,104.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43221
8240,2024-12-30,52.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Westerville,OH,43081
1395,2024-12-29,1040.18,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Cincinnati,OH,45241
10815,2024-12-28,104.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Warren,RI,02885
9328,2024-12-28,520.24,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Dublin,OH,43017
250,2024-12-28,25.87,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
1367,2024-12-27,520.24,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Yellow Springs,OH,45387
10556,2024-12-27,104.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,WORTHINGTON,OH,43085
10724,2024-12-26,90000,Donation,Unrestricted,Sam's Fans 2024,,,,
8956,2024-12-26,10,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43235-1320
10583,2024-12-26,250,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Canal Winchester,OH,43110
499,2024-12-26,75,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43221
256,2024-12-26,100,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Westerville,OH,43081
2350,2024-12-26,500,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43209-1667
186,2024-12-26,100,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43231
1368,2024-12-26,100,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Dayton,OH,45429
177,2024-12-26,100,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43209
10159,2024-12-26,50,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Galena,OH,43021
9977,2024-12-26,100,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43220
9230,2024-12-26,25,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43214
7972,2024-12-26,100,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Athens,OH,45701-3600
9096,2024-12-26,45,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Pataskala,OH,43062
1301,2024-12-26,100,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Avon,OH,44011-1905
10810,2024-12-26,1000,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43220
715,2024-12-26,104.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43214
1334,2024-12-26,204.81,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43085-7216
8677,2024-12-25,27.35,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Mount Vernon,OH,43050
726,2024-12-25,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43220
10809,2024-12-25,52.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Delaware,OH,43015
8225,2024-12-24,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Dublin,OH,43016
2041,2024-12-24,104.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43221
268,2024-12-24,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Tavares,FL,32778
10226,2024-12-24,257.65,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Jamestown,RI,02835
9677,2024-12-23,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Sewickley,PA,15143
535,2024-12-22,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Columbus,OH,43214
770,2024-12-21,26.31,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Pataskala,OH,43062
163,2024-12-20,22.8,Recurring Donation Payment,Unrestricted,,,Powell,OH,43065
2015,2024-12-20,104.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Delaware,OH,43015
10808,2024-12-19,52.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Grandview Heights,OH,43212
1951,2024-12-19,104.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Williamsburg,VA,23188
10807,2024-12-19,26.31,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43215
10806,2024-12-19,520.24,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Upper Arlington,OH,43221
8593,2024-12-19,208.28,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Powell,OH,43065
10461,2024-12-19,104.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43212
165,2024-12-18,104.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Beavercreek,OH,45434
10805,2024-12-18,250,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Cleveland,OH,44124
10804,2024-12-18,39.14,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,,,
630,2024-12-18,100,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Dublin,OH,43017
8225,2024-12-18,100,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Dublin,OH,43016
9769,2024-12-18,1000,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Westerville,OH,43082
8231,2024-12-18,20.76,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-4014
228,2024-12-17,78.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Kirtland,OH,44094
2139,2024-12-17,78.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Galena,OH,43021
7971,2024-12-17,260.28,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43235
8844,2024-12-17,104.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Gahanna,OH,43230
8353,2024-12-17,1040.18,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Saint James City,FL,33956
8146,2024-12-17,260.28,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Chardon,OH,44024
10124,2024-12-17,250,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,GALENA,OH,43021
10799,2024-12-16,100,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,,,
2143,2024-12-16,1040.18,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,La Grange,IL,60525
1566,2024-12-15,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Darien,CT,06820-3204
10382,2024-12-15,21.11,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Columbus,OH,43214
9068,2024-12-15,15.91,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,columbus,OH,43235
9739,2024-12-15,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Dublin,OH,43017
8913,2024-12-15,52.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Powell,OH,43065
1851,2024-12-15,26.31,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Westerville,OH,43081
383,2024-12-15,100,Recurring Donation Payment,Unrestricted,,,Bremerton,WA,98312
2155,2024-12-15,104.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Lewis Center,OH,43035
8677,2024-12-14,104.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Mount Vernon,OH,43050
8831,2024-12-14,25.87,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43221
10796,2024-12-13,520.24,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Dublin,OH,43017
8575,2024-12-12,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Sammamish,WA,98074
1231,2024-12-12,20,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Edgewater,FL,32132-6942
535,2024-12-12,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43214
10585,2024-12-11,5000,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Lebanon,OH,45036
8858,2024-12-11,1000,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Wilton,CT,06897-1827
9671,2024-12-11,100,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43206
10801,2024-12-11,60,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,,,
9765,2024-12-11,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,Galena,OH,43021
1351,2024-12-11,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43221
323,2024-12-11,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Powell,OH,43065
10791,2024-12-11,104.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Dublin,OH,43017
32,2024-12-11,100,Recurring Donation Payment,Unrestricted,,,St. James City,FL,33956
193,2024-12-11,30,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43214-1721
9738,2024-12-10,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43214
10790,2024-12-10,250,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43215
10789,2024-12-10,104.3,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Ronan,MT,59864
1117,2024-12-10,25,Recurring Donation Payment,Unrestricted,,,Pleasant Hill,CA,94523-2624
866,2024-12-08,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Uniontown,OH,44685
1578,2024-12-06,15.91,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Fairmont,WV,26554
1401,2024-12-06,100,Donation,Unrestricted,Sam's Fans 2024,,Rochester Hills,MI,48309
1970,2024-12-05,1000,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43220-2848
480,2024-12-05,500,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Columbus,OH,43221
305,2024-12-05,150,Donation,Unrestricted,,2024 Year End Campaign,COLUMBUS,OH,43212-1803
1372,2024-12-05,1500,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Bellbrook,OH,45305
10788,2024-12-05,52.3,Donation,Unrestricted,Sam's Fans 2024,,Pleasant Valley,NY,12569
61,2024-12-05,25.87,Recurring Donation Payment,Unrestricted,,,West Jefferson,OH,43162-9658
690,2024-12-04,104.3,Donation,Unrestricted,Sam's Fans 2024,,Columbus,OH,43221
10787,2024-12-03,104.3,Donation,Unrestricted,Sam's Fans 2024,,Columbus,OH,43235
1631,2024-12-03,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Columbus,OH,43220
9618,2024-12-03,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Hilliard,OH,43026
8844,2024-12-03,52.3,Donation,Unrestricted,Sam's Fans 2024,,Gahanna,OH,43230
9109,2024-12-03,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Powell,OH,43065
590,2024-12-03,10.71,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Washington,DC,20007
8830,2024-12-03,260.28,Donation,Unrestricted,Sam's Fans 2024,,Columbus,OH,43201
8830,2024-12-03,260.28,Donation,Unrestricted,Sam's Fans 2024,,Columbus,OH,43201
10444,2024-12-03,104.3,Donation,Unrestricted,Sam's Fans 2024,,Lakeside,OH,43440
163,2024-12-03,104.3,Donation,Unrestricted,Sam's Fans 2024,,Powell,OH,43065
1451,2024-12-03,104.3,Donation,Unrestricted,Sam's Fans 2024,,Columbus,OH,43204
2543,2024-12-03,10.53,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235-6114
394,2024-12-02,21.11,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,"Columbus, Ohio",OH,43214
9736,2024-12-01,73.1,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,Donation Form Ask,Columbus,OH,43220
2544,2024-12-01,51.43,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
5,2024-12-01,51.43,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
91,2024-12-01,5,Recurring Donation Payment,Unrestricted,,,Goodyear,AZ,85395
2264,2024-12-01,15.64,Recurring Donation Payment,Unrestricted,,,Uniontown,OH,44685-7583
8001,2024-12-01,20,Recurring Donation Payment,Unrestricted,,,Oak Island,NC,28461
78,2024-11-30,250,Donation,Unrestricted,Sam's Fans 2024,2025 TOH,Powell,OH,43065-7600
10821,2024-11-30,1000,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,,,
10443,2024-11-30,50,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,DUBLIN,OH,43016
9735,2024-11-30,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43235
250,2024-11-28,25.87,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43235
9771,2024-11-26,100,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,Hilliard,OH,43026
1334,2024-11-26,204.81,Recurring Donation Payment,Unrestricted,,,Columbus,OH,43085-7216
8677,2024-11-25,27.35,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Mount Vernon,OH,43050
726,2024-11-25,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43220
8225,2024-11-24,26.31,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,,Dublin,OH,43016
2041,2024-11-24,104.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Columbus,OH,43221
268,2024-11-24,52.3,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Tavares,FL,32778
9677,2024-11-23,24.23,Recurring Donation Payment,Unrestricted,Sam's Fans 2024,BTJ Website,Sewickley,PA,15143
535,2024-11-22,26.31,Donation,Unrestricted,Sam's Fans 2024,,Columbus,OH,43214
10800,2024-11-22,423.95,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,,,
9253,2024-11-22,3000,Donation,Unrestricted,Sam's Fans 2024,2024 Year End Campaign,,,
